店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
BlueSpa（ブルースパ）,日本橋駅2番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/e3c436cd-97cb-4cc5-bf77-a1f0a96e37ef/,https://www.bluespa184.info/,日本橋駅2番出口徒歩2分,090-3711-1117,14:00～LAST
乙女ベッド,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/f8ce0ad7-fb9e-432f-82fb-cc1f79ae0027/,https://www.otomebed184.info/,日本橋駅7番出口徒歩3分,080-2042-5140,11:00～翌 05:00
ハーモニー～harmony～,なんば駅31番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/a74e310a-96fe-45d0-8783-fa4a4deb67c5/,https://shop2.es-johokan.com/harmony-n/,なんば駅31番出口徒歩1分,090-1607-8739,12:00～LAST
YUU（ユー）,日本橋駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/d0e7f8f8-cc9e-4ed6-9ac8-0f52df879055/,https://shop2.es-johokan.com/yuu-n/,日本橋駅5番出口,06-7410-6258,11:00～24:00
デカメロン美女,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/191b65f1-7c35-4a95-8bf8-497e9e217bef/,https://www.dekameronbjo184.info/,日本橋駅7番出口,080-4817-5083,11:00～翌 01:00
シエル,日本橋7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/fa75e2bd-8842-47fc-b9ea-e70b559f73f4/,https://ciel.iest.in/,日本橋7番出口徒歩2分,090-6558-5228,11:00～24:00
プリンプリン彼女,日本橋駅8番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/52727afc-7072-4db6-9935-bdacc6687a16/,https://www.purinpurin184.info/,日本橋駅8番出口,070-1778-2888,11:00～翌 05:00
えびす,恵美須町駅1-B東出口1分,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/026c3277-46b2-4b57-9c3c-8a9bf3c9657b/,https://shop.es-johokan.com/ebisu/,アクセス欄に住所あり,080-4764-0696,10:00～翌 02:00
リフレ本舗,恵美須町駅,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/9af8ae9d-5217-49bb-8bda-f7dc181ab824/,https://shop.es-johokan.com/refurean/,アクセス欄に住所あり,080-9501-1817,12:00～24:00
美姬,玉造駅3番出口,大阪府大阪市中央区玉造１丁目６−２４,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/d6e9ca94-24c3-43b2-a6a8-425e4f044652/,https://bihime-tmtskr.iest.in/,玉造駅3番出口徒歩1分,090-3194-6436,12:00～24:30
激安の恋基地,西田辺駅4番出口,"34.61913811222749, 135.5146382211911",34.61913811222749,135.5146382211911,https://www.esthe-ranking.jp/tanikyu/shop-detail/cc8ff35a-03c5-4807-84cc-6d0b1d89bdb1/,https://www.gekiyasukoi184.info/,付近でお電話を,090-7109-0560,24時間営業
シックスセンス（6thSense）,谷町六丁目駅7番出口1分,大阪府大阪市中央区上本町西１丁目５−１８,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/74bf6185-f5f6-44fa-a6df-6838bac945a4/,https://os-rank.xyz/,谷町六丁目駅7番出口1分,080-6262-5777,11:00～翌 01:00
Royal Honey,谷町九丁目駅3番出口,谷町九丁目駅,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/49fbb977-914e-494a-90a4-6ab267efafd1/,https://favorite-time.iest.in/,谷町九丁目駅3番出口に着いたら、電話ください。,070-9147-7667,24時間営業
Come on（カモン）,谷町九丁目駅1番出口,"34.666611053440384, 135.51244446087554",34.666611053440384,135.51244446087554,https://www.esthe-ranking.jp/tanikyu/shop-detail/e58d99e6-aac2-4132-ad8d-84c54e018205/,https://www.comon184.info/,谷町九丁目駅1番出口,080-4288-9081,12:00～翌 03:00
極楽SPA,喜連瓜破駅・鶴橋駅,喜連瓜破駅,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/9cee4c4b-2a47-4c34-851b-f314a62d264c/,http://gorakuspa.mensest.xyz/,アクセス欄に住所あり,050-6882-8816,11:00～翌 02:00
せかいすぱ 谷町九丁目店,谷町九丁目駅1番出口,"34.666999044760146, 135.51346754473875",34.666999044760146,135.51346754473875,https://www.esthe-ranking.jp/tanikyu/shop-detail/7af79272-4f0a-4d1d-9c4b-e534c844fa6e/,http://asf.xin-jnd.online/,谷町九丁目駅1番出口,080-3146-5892,12:00～翌 03:00
ワインレッドのこころ,谷町九丁目駅1番出口,大阪府大阪市中央区谷町９丁目５−２８,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/cb01664a-1ef8-4b9e-8f94-a96f666a054b/,https://shop2.es-johokan.com/winerednokokoro-t/,谷町九丁目駅1番出口徒歩2分,090-1283-9966,12:00～23:00
まんきつガール,谷町九丁目駅1番出口,■大阪府,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/3e68f4bd-ecb5-4a9f-9b20-039756652f76/,https://www.mankitugirl184.info/,谷町九丁目駅1番出口,080-3842-6999,11:00～翌 05:00
にゃあー,谷町9丁目駅3番出口,■大阪府,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/7b834785-b0b3-436d-8112-7c8c820bb797/,https://www.nyaa184.info/,谷町9丁目駅3番出口,080-9169-1666,11:30～LAST
ぐりくり女子,谷町九丁目駅1番出口,■大阪府,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/91361033-202e-48aa-8b63-e8a76b47a4b3/,https://www.gurikurijo184.info/,谷町九丁目駅1番出口,070-1828-1999,11:00～翌 05:00
癒してね～,谷町九丁目駅3番出口,■大阪府,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/c2112609-fedc-4d6e-b1f6-978e5c38bbb5/,https://iyashitene.iest.in/,谷町九丁目駅3番出口徒歩1分,070-4815-6350,24時間営業
長月,谷町六丁目駅,■大阪府,,,https://www.esthe-ranking.jp/tanikyu/shop-detail/b27dac17-f7e9-4574-a232-3e5995762fd2/,https://shop.es-johokan.com/tyogetu/,アクセス欄に住所あり,080-9472-0890,11:00～LAST
pure heart,近鉄八尾駅・藤井寺駅・河内天美駅,大阪府八尾市光町１丁目５８,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/55c9319e-255e-40be-9b54-7b1e2e561bf7/,http://pure-heart.msk-111.site/,地図の位置に着きましたら、ご連絡ください。,080-2875-1826,12:00～翌 02:00
白い恋人,布施駅,"34.66026587209261, 135.5618778804268",34.66026587209261,135.5618778804268,https://www.esthe-ranking.jp/higashiosaka/shop-detail/2a22a1f0-0906-4242-915a-e6ee3a178bec/,http://white-lover.menzu-naj.sbs/,地図の位置に着きましたら、ご連絡ください。,090-2848-9686,12:00～翌 02:00
恋人,高井田中央駅・布施駅,大阪府東大阪市川俣１丁目１−３９,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/3e6b180e-b560-4ffb-97c5-7b6265b4649c/,http://lover.msk-111.site/,地図の位置に着きましたら、ご連絡ください。,080-9827-8899,12:00～翌 02:00
CoCo,河内天美駅西口,"34.5851457125432, 135.53557574323",34.5851457125432,135.53557574323,https://www.esthe-ranking.jp/higashiosaka/shop-detail/3b1ba0a2-a392-43c0-8bda-2d04b5a7d346/,http://xn--vckg5a5c7c8c1czd.in.net/,河内天美駅西口徒歩2分,070-9512-5169,09:00～翌 03:00
愛の島,布施駅・近鉄八尾駅・高井田駅・藤井寺駅,近鉄八尾駅,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/06ab0539-19da-48d5-a70c-170fc9ef4b5e/,https://www.relaxsalon.xyz/ainsm/,アクセス欄に住所あり,050-6879-8769,11:00～翌 02:00
花海,布施駅,"34.66027964257666, 135.56259936045802",34.66027964257666,135.56259936045802,https://www.esthe-ranking.jp/higashiosaka/shop-detail/b1c76a38-fc39-430b-9088-16e929ccb6fc/,http://flower.sh-hahagfd.tokyo/,布施駅徒歩5分,080-8491-9216,10:00～LAST
鑫（しん）,布施駅,"34.662272, 135.563495",34.662272,135.563495,https://www.esthe-ranking.jp/higashiosaka/shop-detail/ff0c1203-d6be-421d-a250-42741b1777fa/,http://source.sh-dsw.tokyo/,布施駅から徒歩3分！クーポン有り♪心身共に潤うような充実した癒しをご提供いたします☆極上の美女セラピストたちによる癒しなら、リピートしたくなること間違いなし！,080-4393-8808,11:00～翌 01:00
癒しノ天使,近鉄八尾駅西口,大阪府八尾市北本町２丁目４−２,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/2564bb53-4bc9-434c-b21d-25178eb05a47/,https://iyashitenshi.iest.in/,近鉄八尾駅西口徒歩1分,080-9604-9988,12:00～翌 01:00
サラン,布施駅,"34.66509223542335, 135.5612889664606",34.66509223542335,135.5612889664606,https://www.esthe-ranking.jp/higashiosaka/shop-detail/3eaac23a-a4b7-44c9-8379-85d04e3e2484/,http://saran.idk-dx.cfd/,地図の位置に着きましたら、ご連絡ください。,080-4021-7218,10:00～翌 05:00
秋桜（Fall cherry tree）,近鉄八尾駅西出口,大阪府八尾市本町7-11-10,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/5e557136-a1e6-4fab-a66f-1759b91a6473/,https://fall-cherry-tree-yao.jimdofree.com/,近鉄八尾駅西出口徒歩2分,070-1807-1888,12:00～翌 01:00
美人妻,近鉄八尾駅・布施駅・高井田駅・藤井寺駅,近鉄八尾駅,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/4cc06e60-bbeb-4874-b805-a182deb9483d/,https://www.relaxsalon.xyz/psivate/,アクセス欄に住所あり,050-6866-5481,11:00～翌 02:00
夢（ゆめ）,吉田駅2番出口,"34.680024440290616, 135.6222996321098",34.680024440290616,135.6222996321098,https://www.esthe-ranking.jp/higashiosaka/shop-detail/d56dbf5e-5fb9-43db-8f0e-8e66b5a89758/,http://forever-est.com/,「地点」に着きましたら、お電話ください。,090-3607-4770,09:00～翌 03:00
Rose Healing（ローズヒーリング）,布施駅,大阪府東大阪市長堂1丁目3-10,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/f49a728c-d10a-4947-a8f2-f0752ee96432/,https://www.rosehealin184.info/,布施駅徒歩2分,070-2276-5968,11:00～翌 02:00
遊楽園,布施駅・高井田駅・近鉄八尾駅,布施駅,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/f8c839a4-8ff0-4d55-bf4c-1ab3a25ff75c/,http://cwxg.mensrelax.net/,アクセス欄に住所あり,050-6882-4662,11:00～翌 02:00
純心スパ,布施駅北口,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/0656edb8-2fe9-43e5-9f79-b97a2eb33695/,https://www.junsinfuse184.info/,布施駅北口徒歩2分,080-5892-7582,10:30～24:30
八尾癒しの国,近鉄八尾駅,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/922c6b59-fe95-4df8-bc62-6d5badb58ad2/,https://shop2.es-johokan.com/yaoiyashinokuni/,アクセス欄に住所あり,080-9356-6688,12:00～翌 02:00
桜～sakura～,布施駅中央出口,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/def0d99d-d24b-4a5e-a9aa-39466021b778/,https://www.sakurafuse184.info/,アクセス欄に住所あり,080-4763-2779,12:00～LAST
ピアーズ,八尾駅,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/551c972b-3aa4-494d-92ab-44b31c90b03a/,https://shop2.es-johokan.com/piaaz-k/,アクセス欄に住所あり,080-5639-4311,13:00～翌 02:00
麗（Rei）,布施駅,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/b6b64876-d427-466f-961d-6aae5ddd63e4/,https://rei-relaxation.cyou/,布施駅徒歩3分,090-7491-6688,11:30～翌 03:00
ときめき彼女,近鉄八尾駅中央北口,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/d9750fc5-6176-41c2-ac0e-7a96e67c9c5e/,https://www.tokimekikano184.info/,アクセス欄に住所あり,080-9125-6483,11:00～翌 01:00
夢のひととき,布施駅中央北出口,■大阪府,,,https://www.esthe-ranking.jp/higashiosaka/shop-detail/304c8e37-38eb-4e8f-b455-e22351186adb/,https://www.yumenohitotoki.com/,布施駅中央北出口徒歩2分,067-164-2053,12:00～翌 05:00
優香,枚方市駅,"34.81227344703892, 135.65287679257602",34.81227344703892,135.65287679257602,https://www.esthe-ranking.jp/kyobashi/shop-detail/61612d9d-3748-47cf-b0c6-cdc67fffadff/,http://yukari.menzu-naj.sbs/,地図の位置に着きましたら、ご連絡ください。,080-6240-6699,12:00～翌 02:00
可愛い恋人,守口市駅,守口市駅,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/f622f9c5-1c15-4553-a41a-09961d1df2a6/,http://sh-lianren.hfml24.xyz/,守口市駅徒歩3分,090-2595-7999,12:00～翌 01:00
大人の楽園,土居駅・枚方市駅・京橋駅・萱島駅,土居駅,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/1ddf0761-f31f-4001-95b5-7a03beb09eeb/,https://www.relaxsalon.xyz/otnnre/,アクセス欄に住所あり,050-6863-3965,11:00～翌 02:00
マリちゃん,京橋駅・土居駅・枚方市駅,大阪府大阪市都島区東野田町５丁目２−２８,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/e4fccc0a-8cc5-4026-9501-a1cde828ddbc/,http://marie-chan.menzu-naj.sbs/,地図の位置に着きましたら、ご連絡ください。,090-2848-9686,12:00～翌 02:00
Spin,京橋駅,大阪府大阪市都島区片町２丁目２−５３,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/c6772b33-f956-4484-91a5-a6c139092320/,http://beto-spin.menzu-esute.top/,京橋駅徒歩2分,080-1763-0141,10:30～翌 01:30
甜心（てんしん）,大日駅,"34.7532590149146, 135.5826966924846",34.7532590149146,135.5826966924846,https://www.esthe-ranking.jp/kyobashi/shop-detail/270b27c5-9b1b-4485-8de5-19258d6ddf68/,https://tennsin-esute.navi.mn/,アクセス欄に緯度経度と住所あり,080-2960-4344,10:00～翌 02:00
癒し上女,土居駅・枚方市駅・京橋駅・萱島駅・大和田駅,土居駅,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/ce2704a6-6bcc-40d6-8df5-820b96e4bce9/,https://www.relaxsalon.xyz/zswu28/,アクセス欄に住所あり,050-6881-1335,11:00～翌 02:00
悠然庵,京橋駅,大阪府大阪市都島区東野田町5-2-18,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/e19f5f70-8ddd-4b7e-ba02-5e86e54e0ead/,https://you-zenan.navi.mn/,アクセス欄に住所あり,050-6871-9252,11:00～翌 02:00
夜の香り,京橋駅,大阪府大阪市都島区東野田町３丁目５−６,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/5ea7ee81-ca71-4628-bbe7-fd6dee5c73d3/,http://yorunokaori.king-esthe.top/,セブンーイレブンエル京橋店に着きましたらお電話ください。,070-3077-7443,12:00～翌 02:00
Bad Girl,枚方市駅・土居駅・京橋駅,大阪府枚方市新町１丁目１３−４８,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/6092f08b-91df-4412-b557-035f61b4feb4/,http://bad-girl.menzu-xvg.sbs/,地図の位置に着きましたら、ご連絡ください。,080-7421-4499,12:00～翌 02:00
Baby Face,土居駅・枚方市駅・京橋駅・萱島駅,土居駅,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/615a38fd-4307-4ecb-a91a-28326ade48fc/,http://wsxg.mensrelax.net/,アクセス欄に住所あり,050-6880-9699,11:00～翌 02:00
エンジェル,守口市駅,エンジェル 守口市のリラクゼーション,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/511f6721-4df0-4042-949b-7ff8c17d26fb/,https://shop.es-johokan.com/angel-o/,アクセス欄に住所あり,06-6967-8066,12:00～LAST
楽楽,枚方市駅,枚方市アジアンエステ,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/7a6bff5b-e10e-48d0-8fbe-908f7a290f57/,https://www.rakuraku-relaxations.com/,枚方市駅徒歩7分,070-8577-0913,13:00～22:00
女神,京阪守口市駅,大阪・京阪守口市 リラクゼーションエステ「女神」,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/036f068e-da84-4b86-bd9a-b2cca199b7fe/,https://shop2.es-johokan.com/megami-mo/,アクセス欄に住所あり,070-1760-3629,12:00～LAST(京阪守口市駅1分)
ぬるぬるキャット,京橋駅,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/1f6feec2-a7ff-42df-929b-87062494060f/,http://cat.sh-dlq1.tokyo/,京橋駅徒歩3分,080-6902-0431,11:00～翌 03:00
爽楽園,京橋駅,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/fd95b86f-3321-4c96-9228-561a4d1ad7b2/,https://shop2.es-johokan.com/sourakuen-k/,アクセス欄に住所あり,06-6353-5508,11:00～LAST
ひまわり,大日駅,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/3c6c97aa-3f98-49c0-b19e-4ea9d0dc1c78/,http://sun.sh-kio.tokyo/,大日駅徒歩5分,080-7281-4499,11:00～翌 02:00
楽園（らくえん）,土居駅より,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/fa10fe0f-0b51-457a-808f-0e76f2fe3926/,http://rakuen.sh-ujp.xyz/,土居駅より徒歩4分/,070-1667-1358,12:00～24:00
美人SPA,大阪城北詰駅1番出口,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/cf7561c0-609c-4fd6-825d-ac2054de8961/,https://www.bijinkitatum184.info/,大阪城北詰駅1番出口,090-7652-7221,11:00～翌 02:30
パロパロクラブ,土居駅,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/e68ec6c2-ce55-4696-a2df-00b0c69093f6/,http://hanemun.sh-cyt.tokyo/,土居駅徒歩3分,090-7256-6493,11:00～翌 03:00
漢方フュージョン,枚方市駅南口,枚方市アジアンエステ,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/68289dfc-c4b2-4f89-9796-27b63fe7948c/,https://shop2.es-johokan.com/kanpou-hi/,枚方市駅南口徒歩1分,072-841-0766,12:00～23:00
PAL,大阪城北詰駅2番出口,■大阪府,,,https://www.esthe-ranking.jp/kyobashi/shop-detail/68c75b51-d6be-4a4c-8be3-6f0da1fde1cf/,https://www.palosakajyo184.info/,大阪城北詰駅2番出口,080-4984-6288,11:00～24:00
萌え娘,十三駅,"34.72086917143971, 135.4839064597509",34.72086917143971,135.4839064597509,https://www.esthe-ranking.jp/juso/shop-detail/0998e26c-7d99-4202-921c-e39bdba9a659/,http://cute-girl.msk-111.site/,アクセス欄に緯度経度と住所あり,080-7421-4499,12:00～翌 02:00
ラブラブの部屋,十三駅西口,"34.71777848465287, 135.48018883451462",34.71777848465287,135.48018883451462,https://www.esthe-ranking.jp/juso/shop-detail/fd6551bc-d8eb-4e01-82ed-1fe9653a8011/,https://lovelove.rankuens.com/,十三駅西口徒歩4分,080-2670-1040,11:00～翌 02:00
ベトナムピーチ,十三駅,十三駅,,,https://www.esthe-ranking.jp/juso/shop-detail/e04dc959-6361-446a-a446-f3af37265089/,http://peach.jjk-dx.cfd/,十三駅徒歩2分,070-3077-7443,11:00～LAST
十三楼（じゅうそうろう）,十三駅,大阪府大阪市淀川区新北野１丁目８−13,,,https://www.esthe-ranking.jp/juso/shop-detail/b60d0c2b-5636-4dc3-a53e-b4bbf1405927/,http://jyusanro.refle.shop/,（お近くに着いたら、ご連絡ください）,090-2729-5052,11:00～翌 02:00
美少女〜first class〜,十三駅,"34°43'06.3""N 135°28'47.5""E",,,https://www.esthe-ranking.jp/juso/shop-detail/d8060523-6468-4e5b-a6f4-3a42088de49c/,https://shop2.es-johokan.com/firstclass-j/,十三駅に新規オープン。十三駅から徒歩5分と近く、完全個室のリラクゼーシサロンです。可愛いセラピストが極上,080-3763-5990,12:00～LAST
雅美,十三駅西口,大阪府大阪市淀川区十三本町1丁目14-20,,,https://www.esthe-ranking.jp/juso/shop-detail/7dbbd3fb-fc17-471e-bfd7-664c6b536fb8/,https://shop2.es-johokan.com/masabi-j/,アクセス欄に住所あり,090-7348-1005,12:00～翌 05:00
ベリーベリー,十三駅西口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/40d9e6ac-f670-46c8-858f-3a2ba453a381/,http://www.berryberry184.info/,十三駅西口徒歩1分,090-9113-1417,24時間営業
Angelの恋（エンジェルのこい）,十三駅,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/2f5f0124-a12b-4d4b-8c62-e5b08be3c4cd/,http://angela.sh-vcj.xyz/,十三駅徒歩5分,070-9199-8680,12:00～LAST
憩い,十三駅東口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/b01dbc18-ac41-4bde-a77a-72486d3ae0e2/,https://www.kansai-es.com/ikoi/,十三駅東口徒歩1分,06-6305-3545,10:00～翌 01:00
Dearest（ディアレスト）,十三駅西出口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/16590160-bae0-4fe0-9e27-bf9abe5d7a65/,https://www.dearest184.info/,十三駅西出口徒歩2分,090-4358-3207,11:00～LAST
フェアリー 妖精,十三駅西口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/3dc6e12e-226d-42de-bd47-62ba8fb1ea63/,https://www.yoseijyuso184.info/,アクセス欄に住所あり,090-6769-9581,11:30～翌 01:30
十三整体園,十三駅西口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/696e0951-2cb7-4539-908a-d97e9dd9d39b/,https://shop2.es-johokan.com/jusoseitaien-j/,アクセス欄に住所あり,06-6302-1311,12:00～LAST
なごみ庵,十三駅西出口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/c27aec83-e63a-4a4b-a9eb-aaf20ee80191/,https://www.nagomi13184.info/,アクセス欄に住所あり,06-7713-1497,12:00～翌 03:00
喜,十三駅東口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/e71d0cd2-a75b-4608-a09b-73e53c49dd51/,https://www.kansai-es.com/yorokobi/,十三駅東口徒歩1分,06-6307-0321,12:00～翌 01:00
やすらぎ,十三東口,■大阪府,,,https://www.esthe-ranking.jp/juso/shop-detail/746ef3a4-0515-4a9b-bf75-24dd8d6bb904/,https://www.kansai-es.com/yasuragi-j/,十三東口徒歩1分,06-4862-7038,10:00～翌 02:00
天使の肌,淡路駅,大阪府大阪市東淀川区菅原５丁目１１−９,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/8ad04ce8-06b9-446c-8d43-4e79479d55d2/,https://angel-hada.navi.mn/,アクセス欄に住所あり,080-8836-3419,10:30～翌 02:00
あんあん姫,西中島南方駅,"34°43'35.8""N 135°29'50.9""E",,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/22974aa8-225a-471f-9daa-642158650da4/,https://www.ananhime184.info/,アクセス欄に住所あり,070-8325-0677,11:00～翌 01:30
浪漫（ロマン）,西中島南方駅,"34.725451, 135.500317",34.725451,135.500317,https://www.esthe-ranking.jp/nishinakajima/shop-detail/70b9875a-8394-4868-9a4d-d7afcd7c1b35/,http://www.rom184.info/,大人気有名セラピスト・ソラ復帰！・韓国人モモちゃん入店。西中島南方駅から徒歩2分【口コミ&ご紹介多数の優良店】新大阪駅も近く出張の方にも大人気！新人さんも入店【完全個室】本場韓国あかすり・オイルマッサージ・足踏み全身マッサージ・リンパマッサージ・泡洗体でスッキリ。,06-7493-6580,11:30～LAST
癒し本舗,淡路駅・新大阪駅・南方駅,"34.74073576359755, 135.51924955864774",34.74073576359755,135.51924955864774,https://www.esthe-ranking.jp/nishinakajima/shop-detail/2ccefea7-a056-4dbf-bb91-46c6ec391323/,http://bookstore.menzu-naj.sbs/,地図の位置に着きましたら、ご連絡ください。,080-9458-7817,12:00～翌 02:00
女神の手,西中島南方駅西改札口,大阪市淀川区西中島1-12-15,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/c55ee717-23f7-4525-89b3-61c68bd4eff4/,http://www.hr184.info/,西中島南方駅から徒歩1分以内【高級個室】超密泡洗体マッサージ！7月7日☆21歳とても可愛い新人入店致しました。濃厚なサービスをご提供いたします！厳選された極上美女。他店と比べてみて、信頼と実績の超人気店です♪,090-3658-6777,11:00～LAST
E〜感じ,西中島南方駅・新大阪駅,大阪府大阪市淀川区西中島６丁目１−11,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/50ecea05-218f-403f-bc4b-706002b4a965/,http://majyoroom.refle.shop/,（スマイルホテルの近くに着いたら、ご連絡ください）,090-2140-1738,11:00～翌 02:30
月の光,西中島南方駅1番出口,大阪府大阪市淀川区西中島5丁目12-8,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/96d9215d-99be-44a2-8b93-1d66743cbd23/,https://www.tukinohika184.info/,西中島南方駅1番出口,070-5434-4645,12:00～翌 05:00
桃天使,西中島南方駅北東改札口,大阪府淀川区西中島3-15-13,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/d514ca9a-e3ae-4411-bcd2-8f753a894fd8/,https://www.momotenshi184.info/,西中島南方駅 徒歩3分,090-9228-1666,11:00～LAST
Iris（アイリス）,西中島南方駅1番出口,大阪府大阪市淀川区西中島3丁目14-17 サンワビル5階,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/3c06aaf9-80b2-4f05-b9dc-044457a3d4f8/,http://www.iris184.info/,西中島に新オープン・韓国式マッサージエステ・アイリス は、新大阪も近くのエリア高級個室メンズエステ。韓国式あかすり、蒸しタオルマッサージをきれいで優しい韓国女性が存分に癒してくれ、全国からの出張族にも大人気のお店です。,06-6309-6050,12:00～LAST
桃蜜～極上泡泡メンズエステ～,西中島南方駅2番出口,"34.725461228743804, 135.49920079402824",34.725461228743804,135.49920079402824,https://www.esthe-ranking.jp/nishinakajima/shop-detail/ee838a2c-f969-463a-8c87-b9f6136c29b6/,http://bubbles.sh-lfg.tokyo/,阪急南方駅徒歩30秒/西中島南方駅2番出口徒歩1分,080-9608-1237,11:00～LAST
くろタイツ,西中島南方駅1番出口,大阪府大阪市淀川区西中島３丁目１０−５,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/bd029dee-22a0-4b39-bbf9-cc45cddb2bb5/,https://www.kurotaitu184.info/,西中島南方駅1番出口,080-2554-5476,12:00～翌 02:00
ベトナム天使ちゃん,西中島南方駅,"34.72525807980068, 135.49815563555168",34.72525807980068,135.49815563555168,https://www.esthe-ranking.jp/nishinakajima/shop-detail/cabba0f8-e271-4ebc-af31-a0fb51defca3/,http://angelvietnam.xin-huf.online/,ローソン西中島南方店に着きましたら、ご連絡ください,070-3077-7596,12:00～LAST
個室でまったり王,西中島南方駅1番出口,"34.726278, 135.497056",34.726278,135.497056,https://www.esthe-ranking.jp/nishinakajima/shop-detail/665d18f3-b46c-4735-b0d1-27fe8cbf3aa9/,https://www.kositudemata184.info/,付近でお電話を,070-1738-1303,12:00～翌 05:00
台北楽園,新大阪駅,"34.73460294180728, 135.50447477181456",34.73460294180728,135.50447477181456,https://www.esthe-ranking.jp/nishinakajima/shop-detail/5b39f5d9-8a9e-4363-8508-33f51b549e44/,http://taipei-ly.sh-ineua.xyz/,新大阪駅に着きましたらお電話ください。,090-2292-9034,10:00～翌 02:00
フェアリー,西中島南方駅,大阪府大阪市淀川区西中島１丁目１４−４,,,https://www.esthe-ranking.jp/nishinakajima/shop-detail/68369f79-5d95-4dc6-bccf-fc8f2f69cade/,https://fairy-girl.navi.mn/,アクセス欄に住所あり,050-6863-9947,11:00～翌 02:00
