"優先度","候補種別","駅グループ","同駅件数","店舗名","最寄駅","掲載URL","候補数","自動適用","保留理由","候補住所","緯度","経度","候補メモ"
"131","manual","本町駅","2","ニューフェイス","本町駅28番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/5c4e82e5-6490-4412-906a-1c11bf61cbec/","0","保留","候補なし","","","",""
"132","manual","本町駅","2","台北ガール（タイペイガール）","本町駅21番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/650f3858-81d0-418f-a122-12b86d9a466c/","0","保留","候補なし","","","",""
"133","manual","枚方市駅","2","楽楽","枚方市駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/7a6bff5b-e10e-48d0-8fbe-908f7a290f57/","0","保留","候補なし","","","",""
"134","manual","枚方市駅","2","漢方フュージョン","枚方市駅南口","https://www.esthe-ranking.jp/kyobashi/shop-detail/68289dfc-c4b2-4f89-9796-27b63fe7948c/","0","保留","候補なし","","","",""
"135","manual","なかもず駅","1","ルミエール","なかもず駅6番出口","https://www.esthe-ranking.jp/sakai/shop-detail/3a605fff-9727-4bcb-b40e-14164a6d99c1/","0","保留","候補なし","","","",""
"136","manual","なかもず駅・堺東駅・堺駅","1","オイルBaby","なかもず駅・堺東駅・堺駅","https://www.esthe-ranking.jp/sakai/shop-detail/430e1fe7-13a4-4d09-82ca-610cf8096d15/","0","保留","候補なし","","","",""
"137","manual","岸和田駅","1","Zen（ゼン）","岸和田駅","https://www.esthe-ranking.jp/sakai/shop-detail/e4bcd75c-9602-4799-b88b-cad3d16b3544/","0","保留","候補なし","","","",""
"138","manual","喜連瓜破駅・鶴橋駅","1","極楽SPA","喜連瓜破駅・鶴橋駅","https://www.esthe-ranking.jp/tanikyu/shop-detail/9cee4c4b-2a47-4c34-851b-f314a62d264c/","0","保留","候補なし","","","",""
"139","manual","京阪守口市駅","1","女神","京阪守口市駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/036f068e-da84-4b86-bd9a-b2cca199b7fe/","0","保留","候補なし","","","",""
"140","manual","近鉄日本橋駅","1","姫様のしろ","近鉄日本橋駅","https://www.esthe-ranking.jp/osakaminami/shop-detail/1e2a4a7e-b591-409a-bc45-0ac1f964bbb7/","0","保留","候補なし","","","",""
"141","manual","高槻駅","1","明月","高槻駅きた西口","https://www.esthe-ranking.jp/esaka/shop-detail/325d16bb-640e-4729-9714-337dabcb073a/","0","保留","候補なし","","","",""
"142","manual","高槻市駅・江坂駅","1","桃園","高槻市駅・江坂駅","https://www.esthe-ranking.jp/esaka/shop-detail/867e6a3c-53b2-4529-99e0-728f03563e12/","0","保留","候補なし","","","",""
"143","manual","十三東口","1","やすらぎ","十三東口","https://www.esthe-ranking.jp/juso/shop-detail/746ef3a4-0515-4a9b-bf75-24dd8d6bb904/","0","保留","候補なし","","","",""
"144","manual","西中島南方駅2番出","1","縁家（エンヤ）","西中島南方駅2番出","https://www.esthe-ranking.jp/nishinakajima/shop-detail/53de3097-0e39-4f7a-b3ab-e26f86e55662/","0","保留","候補なし","","","",""
"145","manual","西中島南方駅2番出口(南口)","1","Phimai Thai Massage","西中島南方駅2番出口(南口)","https://www.esthe-ranking.jp/nishinakajima/shop-detail/1da316fd-7215-4565-8f17-002d4c4c4937/","0","保留","候補なし","","","",""
"146","manual","扇町駅・天神橋筋六丁目駅・中崎町駅","1","リモート","扇町駅・天神橋筋六丁目駅・中崎町駅","https://www.esthe-ranking.jp/tenma/shop-detail/295a553a-ee39-47be-8890-4412b7b35718/","0","保留","候補なし","","","",""
"147","manual","大阪西中島南方2番出口","1","月の香","大阪西中島南方2番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/c7c0d1fd-0073-441b-aac8-a9ffe8410a1a/","0","保留","候補なし","","","",""
"148","manual","大阪梅田駅","1","推しのバラ21","大阪梅田駅茶屋町口","https://www.esthe-ranking.jp/osakakita/shop-detail/de01477e-a509-491c-9efa-8a1e4c5c70bc/","0","保留","候補なし","","","",""
"149","manual","大日駅","1","ひまわり","大日駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/3c6c97aa-3f98-49c0-b19e-4ea9d0dc1c78/","0","保留","候補なし","","","",""
"150","manual","谷町9丁目駅","1","にゃあー","谷町9丁目駅3番出口","https://www.esthe-ranking.jp/tanikyu/shop-detail/7b834785-b0b3-436d-8112-7c8c820bb797/","0","保留","候補なし","","","",""
"151","manual","谷町六丁目駅","1","長月","谷町六丁目駅","https://www.esthe-ranking.jp/tanikyu/shop-detail/b27dac17-f7e9-4574-a232-3e5995762fd2/","0","保留","候補なし","","","",""
"152","manual","中崎町駅","1","Lala Kiss（ララキス）","中崎町駅","https://www.esthe-ranking.jp/tenma/shop-detail/863c600e-c560-4a8d-8f28-f642c956e29e/","0","保留","候補なし","","","",""
"153","manual","長居駅","1","ひまわり","長居駅2-6番出口","https://www.esthe-ranking.jp/sakai/shop-detail/31a21028-0b24-4cd5-8cae-7d88e6cbd02d/","0","保留","候補なし","","","",""
"154","manual","天神橋筋六丁目13番出口","1","Love＆Peace（ラブ＆ピース）","天神橋筋六丁目13番出口","https://www.esthe-ranking.jp/tenma/shop-detail/f7c04ddb-278f-492c-a54c-42b9744efd5b/","0","保留","候補なし","","","",""
"155","manual","土居駅・枚方市駅・京橋駅・寝屋川市駅","1","クローバー","土居駅・枚方市駅・京橋駅・寝屋川市駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/3598cb34-8a4c-43d3-9bf0-04db96a464ce/","0","保留","候補なし","","","",""
"156","manual","東岸和田駅","1","Rose（ローズ）","東岸和田駅","https://www.esthe-ranking.jp/sakai/shop-detail/3e141295-44e1-48f8-82bf-a685102a964c/","0","保留","候補なし","","","",""
"157","manual","南方駅","1","KhonKaen（コンケン）","南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/f59260f2-77e6-4de9-8055-a052109de61e/","0","保留","候補なし","","","",""
"158","manual","日本橋7番出口","1","シエル","日本橋7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/fa75e2bd-8842-47fc-b9ea-e70b559f73f4/","0","保留","候補なし","","","",""
"159","manual","八尾駅","1","ピアーズ","八尾駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/551c972b-3aa4-494d-92ab-44b31c90b03a/","0","保留","候補なし","","","",""
"160","manual","布施駅・高井田駅・近鉄八尾駅","1","遊楽園","布施駅・高井田駅・近鉄八尾駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/f8c839a4-8ff0-4d55-bf4c-1ab3a25ff75c/","0","保留","候補なし","","","",""
"161","manual","北加賀屋駅","1","愛の風船","北加賀屋駅","https://www.esthe-ranking.jp/sakai/shop-detail/f82e7ffb-fb24-45ec-bed7-13ab62fbd4d6/","0","保留","候補なし","","","",""
